Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
Life is Good	45	9	15	5	82	5	21	1	7	7	6	69	4	21	4	4	1	3	19	53	0	12	12	6	2	6	1	25	18	2	3	10	2	23	27	11	2	3	0	1	7	15	21	7	8	34	10	14	9	20	3	11	11	12	17	10	0	43	30	9	8	2	1	4	4	2	24	8	10	2	20	14	5	3	1	0	7	18	12	3	2	17	2	9	26	17	4	15	2	12	7	6	2	3	10	62	6	1	28	0	0	5	22	2	18	4	4	18	1	10	5	0	29	28	3	6	0	13	16	4	9	2	11	56	9	67	9	0	1	2	6	4	8	5	4	15	16	5	11	11	4	2	0	2	1	2	17	14	10	7	9	15	8	2	5	6	16	4	56	7	3	7	10	8	7	42	5	7	18	6	26	20	5	12	3	8	29	7	3	2	9	76	1	35	13	7	10	4	9	8	2	6	23	5	12	9	8	6	1	1	4	0	12	12	6	6	1	9	34	9	19	13	5	7	2	8	4	21	0	20	9	5	12	2	16	9	3	11	8	16	11	16	6	12	9	3	2	14	5	5	6	1	11	13	13	7	7	69	22	36	18	2	1	5	8	4	13	2	12	4	2	9	12	2	5	21	2	10	7	3	2	0	47	18	6	0	8	1	23	3	4	14	0	11	8	36	10	10	11	2	2	1	9	2	5	3	0	51	29	2	1	29	3	38	0	31	4	14	1	12	83	2	1	11	2	37	14	2	13	15	30	2	12	10	5	3	20	24	3	2	10	11	6	11	10	3	22	31	5	270	4	2	11	14	3	5	4	7	10	10	1	8	23	51	7	5	2	13	19	55	0	0	11	45	16	4	10	3	11	37	128	15	1	0	2	0	1	10	2	0	399	3	5	7	20	3	5	6	88	15	2	7	19	11	16	21	5	1	92	13	5	3	0	28	6	3	24	16	6	28	19	3	1	9	0	15	1	16	0	2	4	5	0	13	1	7	8	14	7	1	8	28	15	11	27	17	1	11	0	3	0	5	6	2	7	0	52	9	0	4	0	27	7	35	6	6	83	21	10	37	3	3	8	4	3	6	7	5	2	5	13	48	65	6	14	11	4	20	1	5	0	0	12	3	8	2	6	25	15	21	15	22	3	17	7	170	3	11	9	0
CatchrsPad	0	2	3	1	5	6	3	2	3	4	16	4	6	2	1	8	2	0	0	6	1	2	0	1	1	0	0	3	2	8	1	4	5	3	5	5	13	2	8	35	0	0	0	4	26	1	1	0	1	0	0	3	2	0	3	4	0	0	3	5	6	7	1	5	7	4	1	3	2	0	3	1	2	0	0	13	1	1	12	0	2	24	1	15	10	0	6	0	7	3	4	7	2	6	1	3	1	1	0	3	0	2	3	6	1	2	1	0	0	0	6	12	5	9	0	1	14	5	4	5	15	0	4	0	12	0	11	1	22	9	1	0	2	0	16	19	2	3	1	1	7	0	1	1	1	2	4	1	0	6	2	15	7	3	5	57	0	3	7	0	1	2	8	5	2	0	2	4	2	7	1	12	3	2	1	1	0	1	2	17	4	0	8	17	4	5	4	1	4	1	1	2	2	9	10	0	8	1	0	2	18	0	0	0	1	3	25	1	8	1	3	5	1	8	1	4	1	2	0	4	1	9	3	10	3	0	4	1	3	1	9	0	3	6	0	3	0	0	1	0	1	5	1	4	3	2	43	6	0	3	0	3	1	0	9	11	5	2	9	3	2	1	3	2	3	1	6	0	1	0	1	3	14	2	2	12	0	0	7	3	5	2	9	3	1	4	5	2	1	1	1	3	4	2	5	3	5	0	3	0	0	0	2	8	0	2	7	1	0	184	0	3	0	1	3	1	0	0	1	5	4	0	6	7	1	2	2	1	1	0	4	4	0	7	0	6	4	4	1	1	0	0	0	8	2	13	3	3	0	3	5	6	7	8	6	1	0	1	5	0	5	0	1	0	8	0	6	5	2	0	2	1	3	2	0	17	4	1	0	0	0	2	8	5	2	0	0	3	0	5	11	14	1	3	1	1	1	2	0	1	3	10	2	0	1	6	1	40	2	0	20	4	0	0	1	1	3	0	3	10	4	2	3	16	6	4	11	16	2	5	1	0	1	1	1	0	38	0	23	0	27	0	0	1	2	9	1	1	0	0	3	0	0	4	2	7	0	4	3	2	8	0	3	2	8	3	1	0	8	0	0	2	1	2	2	2	1	0	6	2	0	2	1	1	2	0	3	6	2	10	0	2	2	5	0	0	0	2	0	1
CRUCIAL CHANGES	29	5	8	36	0	1	56	3	0	9	2	1	78	0	2	24	40	0	4	0	2	7	6	12	1	1	0	5	18	8	1	5	5	6	9	2	29	589	0	35	0	0	3	3	2	1	16	2	1	4	0	6	6	1	4	5	2	4	0	6	1	7	3	4	11	4	10	1	4	0	8	1	30	3	0	206	8	1	7	0	1	3	0	2	17	3	11	3	8	0	1	35	5	31	2	14	5	11	0	0	18	0	50	51	9	1	9	0	0	17	10	26	4	1	1	3	53	2	71	15	3	3	4	18	11	4	10	5	0	0	7	35	0	5	10	4	17	22	2	9	29	0	0	1	3	4	0	10	2	19	7	3	9	7	23	97	0	0	14	3	9	28	8	8	1	2	16	14	7	0	0	12	1	0	31	83	0	36	0	0	29	0	43	9	3	31	1	0	13	49	2	0	2	42	0	2	7	3	2	0	10	0	10	5	5	5	108	2	9	13	3	5	17	15	9	7	10	4	0	2	8	11	10	3	9	1	3	20	10	0	1	0	3	15	0	10	84	0	0	9	50	5	4	2	16	0	34	24	0	3	0	18	11	36	5	23	14	6	11	7	8	1	0	1	3	10	6	0	10	0	7	53	7	1	6	51	1	0	19	4	1	11	3	2	3	5	7	0	0	7	1	2	1	24	6	4	3	3	0	0	2	2	0	10	45	0	0	6	1	57	7	1	1	1	18	1	13	0	17	26	20	4	8	6	5	25	195	0	1	14	3	2	1	0	3	6	7	0	3	15	0	3	4	6	16	15	7	2	0	0	2	36	14	15	12	1	1	4	15	9	87	8	8	9	4	6	11	59	7	6	2	3	0	2	5	153	19	1	398	0	0	3	4	10	5	1	1	11	4	5	1	12	14	3	8	3	8	3	1	1	97	15	15	5	1	2	10	23	5	0	0	8	1	0	14	10	83	5	138	1	2	29	4	17	1	30	14	1	50	50	3	3	1	46	9	8	101	5	6	6	4	6	2	10	0	32	4	1	208	28	43	3	2	4	3	7	5	6	4	2	22	7	3	12	18	2	0	14	43	2	4	4	28	3	17	1	24	3	4	3	0	5	21	16	3	0	7	0	1	3	0	2	6	21	3	0	4	15	7	1
Dakota Prairie	1	0	0	2	9	0	5	0	0	0	1	0	0	1	6	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	10	0	1	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	4	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0	0	0	9	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	1	3	0	3	0	1	0	5	1	2	0	0	0	2	3	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	5	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	1	3	0	0	0	0	2	2	0	0	0	0	1	0	0	0	11	1	0	1	0	0	2	2	0	0	0	0	3	0	0	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	5	0	5	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0
finding jen's view	6	0	2	1	1	0	2	2	3	2	2	0	4	1	4	7	0	0	3	2	0	4	8	3	0	0	1	0	2	1	0	0	1	3	4	7	5	0	0	1	5	7	7	0	5	2	1	1	5	7	1	1	7	8	1	1	0	1	3	2	0	2	0	2	2	12	7	0	13	0	6	4	0	7	0	0	2	5	1	1	0	2	0	4	0	8	1	1	0	16	3	0	2	2	5	1	3	2	0	0	0	0	3	0	2	0	0	1	25	4	1	2	3	1	1	0	1	2	1	4	1	1	2	0	1	4	2	0	0	1	1	16	1	0	0	1	10	4	2	4	1	3	0	9	6	0	2	0	0	5	0	10	4	2	6	0	1	1	1	2	0	0	5	1	2	2	1	2	0	8	7	4	2	2	0	0	2	0	7	10	0	0	0	1	0	0	3	9	5	1	0	3	1	0	7	3	0	8	1	1	1	0	1	0	0	3	0	1	2	5	3	0	5	2	0	0	1	0	0	5	4	0	6	1	3	0	1	5	2	5	3	2	2	8	1	2	1	3	6	4	3	4	5	1	7	7	4	10	5	0	2	0	22	0	2	0	1	0	2	1	0	0	6	1	0	6	0	1	5	0	3	0	4	6	1	0	0	4	0	2	4	3	2	5	2	3	4	9	2	1	4	4	2	0	1	3	10	3	0	0	0	27	2	6	0	2	2	7	2	3	0	1	0	12	1	0	2	0	6	3	5	0	7	1	5	8	6	2	3	12	8	1	0	13	3	1	0	2	2	0	0	0	0	4	3	0	3	4	29	0	1	1	4	4	0	3	0	7	1	1	0	1	4	0	2	2	0	1	5	2	8	6	21	0	0	0	3	1	0	0	0	0	3	0	1	4	1	2	1	4	0	5	4	6	3	17	2	0	5	0	4	1	0	43	0	0	0	1	0	15	3	1	0	6	0	1	4	6	0	1	9	1	7	4	0	8	1	5	0	2	1	4	0	5	2	4	0	1	0	1	0	0	1	1	1	0	7	3	0	1	1	4	1	1	1	3	0	3	1	19	0	0	3	1	2	3	2	0	0	11	3	2	3	1	7	4	1	2	0	1	0	0	0	3	6	3	1	0	8	2	1	1	6	3	2	0	2	7	0	1
a desert fete	13	4	6	0	7	3	3	12	9	15	2	0	4	2	5	9	0	0	13	3	0	7	3	17	0	3	4	8	5	0	1	5	7	11	1	10	1	0	3	6	9	1	15	1	2	4	6	0	7	8	0	3	6	2	6	1	1	3	2	2	3	3	0	1	2	5	8	1	16	9	5	3	4	22	1	4	3	5	0	0	0	4	0	5	5	3	6	1	5	0	6	13	1	5	2	1	1	1	1	0	0	1	4	2	3	149	14	0	0	4	3	2	0	1	4	0	0	7	3	5	3	5	2	1	5	2	3	3	0	0	2	34	0	14	2	7	7	0	4	6	2	11	1	8	1	0	0	7	13	1	4	2	13	3	3	9	1	1	1	5	10	1	2	7	5	9	1	11	5	3	11	6	0	1	0	2	11	9	0	1	2	0	4	1	2	5	2	10	10	7	4	2	2	3	1	3	9	3	0	10	0	0	0	7	2	2	2	0	9	9	5	6	15	9	1	2	1	11	4	0	1	0	10	3	7	0	2	1	3	5	0	5	4	2	11	2	3	1	1	5	9	3	3	4	4	1	5	13	0	0	6	0	0	4	6	1	3	2	2	0	0	1	5	1	0	3	3	0	1	2	2	0	0	4	6	2	3	5	1	1	13	5	3	1	3	3	5	12	1	0	9	1	2	0	3	3	25	3	4	1	0	2	2	14	9	7	1	3	3	0	4	2	2	1	0	3	4	2	2	4	2	0	15	2	39	4	8	0	0	9	0	2	0	5	1	6	10	4	1	3	0	0	1	2	2	3	4	4	14	0	0	4	0	2	0	12	2	4	5	8	6	5	3	3	2	0	1	3	1	4	6	5	11	2	0	0	10	1	1	0	0	0	1	8	0	3	1	2	0	48	1	3	7	6	5	2	5	3	9	3	8	6	3	0	7	2	4	0	1	0	9	1	0	5	17	2	0	6	0	0	2	10	7	8	1	27	1	11	7	2	1	1	8	3	2	1	2	0	0	5	1	1	0	1	3	0	15	1	0	0	96	3	4	3	1	4	0	17	4	2	4	1	3	2	1	1	2	2	0	4	6	7	11	3	0	9	1	6	5	4	0	0	3	4	4	0	6	3	0	2	3	7	6	3	4	0	7	3	2	3
Inner Voice	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	2	0	1	1	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	5	2	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	3	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	10	3	0	0	0	1	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	2	0	4	6	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	0	3	0	2	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0
aux.antipodes	3	5	13	1	1	0	9	10	0	0	0	46	3	1	0	4	2	11	4	0	6	0	9	0	2	1	1	0	0	1	0	6	4	2	2	1	13	0	14	0	0	1	2	0	0	0	0	0	0	2	19	1	1	2	11	32	3	4	0	0	12	18	9	0	15	0	0	0	26	0	0	0	4	1	0	312	4	0	3	9	20	3	1	0	0	27	8	15	1	29	0	0	0	0	0	51	12	2	202	408	47	2	8	3	3	17	4	10	1	6	5	3	13	1	0	0	0	2	0	0	15	74	4	31	0	0	7	17	0	0	0	2	3	0	0	7	0	4	2	0	1	1	101	0	207	4	3	0	0	0	7	0	1	0	0	31	0	2	6	1	4	78	1	8	0	0	0	0	0	0	5	0	3	0	3	1	4	0	1	2	0	63	3	0	3	0	0	0	0	7	1	0	17	0	6	0	0	11	0	2	52	0	1	9	11	17	4	0	7	0	0	0	3	1	29	0	16	0	5	2	1	2	0	0	1	0	5	0	4	0	3	10	0	1	0	5	6	0	4	1	0	10	13	5	4	0	6	6	1	7	0	2	5	7	0	0	7	0	0	0	0	8	0	1	0	0	11	6	0	2	18	1	28	1	21	15	10	9	2	15	9	0	9	2	5	9	0	3	1	0	2	5	10	3	3	0	2	0	0	147	3	1	0	0	21	0	2	0	1	11	2	0	0	1	3	4	1	2	0	0	2	6	8	0	1	1	0	0	1	25	3	3	376	5	13	0	24	0	0	1	12	189	14	2	4	14	0	0	2	3	6	3	0	1	2	0	3	0	3	0	8	12	0	3	0	0	0	3	0	2	1	3	6	362	12	2	10	7	2	11	277	1	26	0	1	2	172	0	98	1	12	0	6	0	0	7	1	0	0	20	0	0	7	19	19	0	0	21	0	2	0	0	0	0	1	0	16	0	6	18	0	11	2	0	2	14	10	0	0	1	15	0	17	1	0	0	12	1	129	6	9	2	2	9	0	1	0	4	7	0	3	5	2	0	5	0	0	3	27	10	5	0	1	6	9	8	0	0	1	2	12	1	5	0	0	0	16	19	0	0	0	14	1	12	0	0	48	13	6	0	1	10	4	4	1	126	2	0	20	14
[self-absorbed]	0	0	2	2	7	4	2	1	6	0	0	1	0	3	0	1	0	0	3	1	2	3	4	1	5	0	0	4	1	2	1	2	11	9	1	7	1	0	2	1	1	1	0	0	1	1	0	1	4	1	0	4	4	3	1	4	0	3	3	1	0	0	0	1	2	6	1	1	1	0	3	4	1	1	1	1	3	0	11	1	1	0	1	1	0	4	4	1	5	3	4	3	1	1	0	1	2	3	0	0	0	11	1	1	17	0	1	0	3	1	0	0	2	3	4	3	2	1	1	0	1	2	2	0	4	1	0	0	4	1	2	1	2	0	1	2	1	0	3	1	0	6	0	0	1	1	9	1	2	2	0	2	1	4	1	4	2	1	5	4	3	0	0	0	2	1	3	0	1	1	1	1	4	2	2	0	2	2	5	5	1	0	1	2	2	0	0	2	0	0	1	1	3	4	3	1	2	5	0	5	15	2	6	0	1	0	1	0	1	2	1	2	2	7	0	0	2	4	2	3	7	11	1	1	2	3	2	1	7	1	0	0	4	4	2	4	0	2	2	0	3	7	17	2	0	11	2	1	9	6	10	1	2	0	1	1	1	2	4	6	0	2	0	0	0	0	0	1	2	0	0	0	1	0	1	1	1	2	1	3	1	1	1	4	9	2	0	1	1	3	2	0	5	1	1	1	0	1	0	1	1	1	1	14	5	1	1	3	0	3	0	0	0	14	3	0	1	0	0	1	1	6	0	0	0	2	1	1	2	1	0	0	0	12	1	6	4	12	7	0	2	0	4	5	0	1	1	0	7	1	10	1	4	1	3	2	0	0	5	1	0	1	0	0	2	1	3	3	0	0	0	4	8	0	8	0	2	4	2	0	0	0	1	1	6	5	0	1	0	1	1	2	0	1	1	4	5	0	0	2	0	1	0	4	5	2	1	3	3	0	4	0	10	5	0	2	0	3	0	0	1	0	2	4	2	6	0	1	5	0	3	3	3	0	0	0	0	13	0	4	1	2	3	0	2	1	1	5	0	3	0	0	1	0	5	3	41	3	4	1	0	0	3	8	1	5	3	2	1	1	1	1	0	3	5	1	1	1	2	1	6	1	2	5	1	2	3	0	5	0	0	4	1	0	1	0	2	2	0	0
b i t l e y m u s i c	1	6	1	3	0	2	1	0	1	2	3	0	27	0	0	4	11	1	1	0	1	1	0	6	0	0	0	1	9	14	0	5	1	1	2	1	6	1	0	14	1	0	0	0	4	0	7	0	0	8	2	2	3	0	0	6	2	1	6	5	4	0	0	0	1	5	1	0	14	0	0	1	6	1	2	12	0	1	2	1	0	1	0	1	5	1	0	0	3	0	3	0	1	0	0	0	0	0	45	1	0	1	16	8	12	0	3	2	0	0	0	11	2	1	0	0	0	6	0	15	0	6	1	0	0	0	2	0	0	12	1	11	1	0	6	11	0	1	2	1	2	0	17	0	1	1	0	0	0	3	4	5	0	0	1	32	3	0	1	3	1	0	4	3	0	0	2	6	5	0	0	5	1	7	20	0	0	0	0	1	6	0	11	0	4	3	0	0	1	0	0	0	0	4	0	0	1	6	0	0	54	0	3	0	2	1	14	2	1	8	1	1	0	0	0	1	3	1	3	1	2	48	2	1	2	0	1	0	2	0	0	0	2	0	0	2	1	1	1	1	2	2	13	0	9	1	0	2	0	10	0	2	2	3	0	2	17	4	0	1	2	0	1	5	2	14	4	0	0	0	1	7	1	0	2	41	0	0	6	8	11	4	1	0	3	0	1	17	0	0	0	0	1	3	4	1	1	0	1	0	1	0	1	5	1	1	1	1	3	3	0	3	2	30	8	2	4	0	1	5	6	0	0	3	6	1	0	0	0	6	1	1	1	1	0	4	2	3	0	0	2	15	2	3	0	4	0	2	4	2	1	4	1	3	2	3	0	3	6	2	3	17	0	0	0	0	4	10	1	0	0	0	0	1	0	1	16	0	2	0	0	1	4	1	2	0	2	0	0	0	0	7	1	6	4	2	3	0	0	0	19	1	5	0	6	0	12	0	2	0	2	2	1	0	0	2	9	6	17	14	8	4	0	2	11	5	0	8	7	2	0	1	1	1	0	1	22	0	62	3	3	3	5	5	0	0	0	0	1	1	5	0	0	4	2	5	1	7	1	0	11	0	13	2	3	0	0	11	2	0	1	2	0	2	1	2	0	0	0	7	11	0	0	4	1	0	1	0	1	3	0	0	7	2	1	0	6	0	0	2
Three Peevys in a pod!	7	9	0	4	0	1	0	5	2	0	1	0	0	2	4	0	0	0	4	13	1	3	1	0	1	1	1	4	2	1	0	2	5	1	1	3	0	0	1	1	1	8	3	1	1	0	0	13	5	4	0	0	3	2	0	1	0	0	2	2	16	0	2	2	1	7	15	1	0	0	1	3	2	13	0	1	2	5	7	0	1	1	0	7	7	1	11	0	3	30	1	1	0	5	20	0	3	0	0	0	0	53	1	1	22	2	4	0	43	5	2	0	4	3	2	23	0	4	5	3	4	0	0	0	12	5	9	1	0	5	0	0	16	1	1	3	5	2	2	5	1	3	0	2	0	0	5	2	0	0	0	6	2	1	6	4	1	0	0	6	4	0	2	5	1	2	0	1	8	2	2	2	12	1	0	2	0	4	24	4	3	4	0	3	2	0	4	6	2	1	3	10	0	3	24	16	1	3	25	15	3	1	2	8	0	13	2	5	0	2	1	3	1	1	0	4	0	5	0	13	1	3	3	2	0	11	2	2	6	5	17	1	7	5	1	1	0	2	15	2	3	5	5	7	0	1	0	0	4	0	6	0	10	1	13	0	0	1	4	13	0	0	8	0	3	2	0	20	0	32	6	0	1	0	0	1	1	2	0	4	0	4	4	11	0	3	1	0	2	1	7	0	22	1	0	0	3	1	1	0	0	2	3	0	1	0	10	12	0	15	0	0	1	0	1	24	3	1	2	2	1	1	3	4	1	2	2	0	10	6	9	7	0	5	2	9	0	15	10	1	0	0	7	2	3	13	1	0	0	0	4	0	8	6	18	2	1	3	1	1	1	0	2	0	13	0	3	1	1	8	0	7	17	0	0	0	0	7	1	0	0	0	4	1	7	0	12	6	0	0	0	10	7	2	2	2	4	3	0	1	2	1	0	32	0	6	1	4	17	4	0	0	0	1	0	7	0	1	0	2	4	0	7	0	1	0	2	7	1	5	5	1	0	1	4	1	1	1	0	1	4	2	1	7	17	2	4	5	1	5	0	0	0	1	5	2	0	1	0	4	0	0	4	1	0	3	7	5	3	7	0	0	0	9	4	10	10	0	2	2	0	2	1	5	5	6	7	0	28	8	10	9	4	1	1	0	6	6	0	1
Home is where my He{Art} is	1	0	1	0	0	0	0	0	1	1	0	0	14	2	1	1	1	0	1	0	0	1	2	4	3	0	1	7	4	1	0	1	3	4	2	3	0	1	0	3	3	5	0	0	1	2	2	0	44	10	0	1	7	4	3	0	0	2	3	0	8	0	0	3	1	3	6	0	5	1	1	5	4	12	0	0	2	3	0	6	0	2	2	1	1	4	0	14	4	0	0	3	0	0	0	1	0	1	1	0	0	0	5	1	10	1	5	5	21	7	0	0	2	0	7	0	0	2	4	29	3	1	10	1	5	0	0	0	0	1	0	6	12	6	0	0	0	0	3	3	3	7	0	4	0	20	3	6	2	3	0	14	3	2	2	2	1	0	3	5	0	0	2	1	0	9	1	12	1	0	3	2	0	3	0	0	3	5	2	1	1	0	2	4	0	1	2	8	0	0	0	5	0	2	1	16	5	3	0	3	1	10	0	0	0	2	5	8	0	20	2	10	10	2	1	1	0	1	0	2	2	1	4	0	0	3	0	3	5	5	0	4	5	3	0	0	6	3	2	1	2	5	9	2	1	0	5	0	7	2	10	0	1	1	2	0	4	0	0	5	3	0	4	0	1	6	0	1	0	3	3	0	0	4	2	0	0	14	0	0	0	3	1	3	0	1	2	8	0	1	0	1	9	0	0	4	11	2	6	0	0	0	0	8	3	0	0	3	0	5	0	0	0	4	2	2	0	0	0	2	3	3	0	2	23	0	18	1	0	4	36	1	0	9	2	17	0	0	1	0	0	0	0	3	3	9	2	0	0	0	0	1	6	3	0	3	1	3	3	0	1	1	5	7	4	6	2	0	2	0	1	10	0	0	3	0	2	1	0	0	0	0	1	0	6	7	3	1	1	0	0	1	0	3	9	12	0	1	42	2	8	4	1	1	8	0	3	0	0	0	4	3	34	1	9	6	0	3	0	1	7	5	1	8	1	7	5	1	2	1	1	0	0	6	1	6	4	1	0	2	1	2	0	0	0	0	2	3	0	18	3	1	0	0	2	1	13	0	1	11	8	0	2	1	0	5	2	0	1	7	3	0	0	4	0	0	0	0	4	0	23	0	3	6	0	0	1	0	0	2	1	2	3	2	4	2	0	2	0	0
